dl
format = edgelist1
n=2552
data:
six live 1.0	
evening achieved 1.0	
obama january 1.0	
stance reluctant 1.0	
water day 1.0	
goal appeared 1.0	
secretary observers 1.0	
providing disabled 1.0	
killed crowds 1.0	
run him 1.0	
run his 1.0	
largely he 1.0	
station protesters 1.0	
took other 1.0	
revolution fired 1.0	
much access 1.0	
mubarak egypt 1.0	
there support 1.0	
foreign called 1.0	
st february 2.0	
egypt baton 1.0	
recipients his 1.0	
service january 1.0	
tuesday hillary 1.0	
government canisters 1.0	
hundreds facing 1.0	
th february 2.0	
hosni arabia 1.0	
pbs number 1.0	
american activists 1.0	
protesters country 1.0	
junta another 1.0	
many achieved 1.0	
issues biden 1.0	
hundreds charges 1.0	
th said 1.0	
january clear 1.0	
years end 1.0	
used services 1.0	
hundreds a 1.0	
made administration 1.0	
smaller continued 1.0	
tear by 1.0	
disabled being 1.0	
services by 1.0	
street government 1.0	
near bart 1.0	
tuesday streets 1.0	
un protesters 1.0	
power goal 1.0	
riot down 1.0	
while recipients 1.0	
not evening 1.0	
him ally 1.0	
been are 1.0	
maintains liking 1.0	
streets continued 1.0	
tear marched 1.0	
th charges 1.0	
water facing 1.0	
one liking 1.0	
protests marched 1.0	
protests police 1.0	
regime february 1.0	
dictator corrupt 1.0	
police evening 1.0	
power dictatorship 1.0	
largest he 1.0	
number january 1.0	
interview egyptian 1.0	
th protesters 1.0	
th a 4.0	
change by 1.0	
ones egypt 1.0	
providing lawyers 1.0	
st protesters 1.0	
tunisian saudi 1.0	
protesters hundreds 1.0	
police many 1.0	
stay police 1.0	
demand been 1.0	
refer mubarak 1.0	
with tunisian 1.0	
say initially 1.0	
thought fired 1.0	
with demanding 1.0	
he biden 1.0	
rest initially 1.0	
mid-afternoon by 1.0	
refer number 1.0	
power backing 1.0	
marching bart 1.0	
protesters noon 1.0	
who freedom 1.0	
live independent 1.0	
let he 1.0	
gas charges 1.0	
pbs key 1.0	
other cities 1.0	
mubarak army 1.0	
people aid 1.0	
st egyptian 2.0	
streets on-the-ground 1.0	
who hosni 1.0	
largely because 1.0	
gas a 1.0	
power liking 1.0	
one backing 1.0	
junta election 1.0	
tunisian power 1.0	
water down 1.0	
he chanting 1.0	
september him 1.0	
said interview 1.0	
regime egyptian 1.0	
hour gathered 1.0	
vice called 1.0	
protesters appeared 1.0	
september his 1.0	
th stance 1.0	
largest few 1.0	
protesters gas 1.0	
san january 1.0	
water protests 1.0	
lines are 4.0	
us backing 2.0	
us liking 2.0	
government again 1.0	
september demonstrators 1.0	
took stay 1.0	
rigged not 2.0	
one dictatorship 1.0	
from canisters 1.0	
dictator a 3.0	
stay achieved 1.0	
september another 1.0	
phone by 2.0	
protesters power 1.0	
took many 1.0	
streets regime 2.0	
hosni administration 1.0	
where observers 1.0	
junta him 1.0	
marched day 1.0	
used phone 2.0	
openly largely 1.0	
us dictatorship 2.0	
mubarak intended 1.0	
television stay 1.0	
saudi corrupt 1.0	
was made 1.0	
television many 1.0	
junta his 1.0	
where clintons 1.0	
tunisian dictator 1.0	
largest because 1.0	
montgomery hour 1.0	
protests millions 1.0	
six reports 1.0	
maintains dictatorship 1.0	
th egyptian 3.0	
policy made 1.0	
junta demonstrators 1.0	
said dictator 1.0	
there reports 1.0	
television evening 1.0	
with corrupt 1.0	
while mubarak 1.0	
freedom arabia 1.0	
took television 1.0	
street not 1.0	
took egypt 1.0	
where secretary 1.0	
st cairo 2.0	
streets american 1.0	
other alexandria 1.0	
on-the-ground comments 1.0	
he appeared 1.0	
francisco egypt 1.0	
th cairo 2.0	
montgomery before 1.0	
cut again 1.0	
who dictator 1.0	
protesters least 1.0	
where all 1.0	
recipients largest 1.0	
twitter egyptian 1.0	
with police 1.0	
was change 1.0	
street evening 1.0	
smaller alexandria 1.0	
replacing power 1.0	
marched charges 1.0	
street fired 1.0	
run election 1.0	
state showed 1.0	
power corrupt 1.0	
power he 3.0	
were gas 1.0	
are administration 1.0	
liking few 1.0	
policy clear 1.0	
streets gas 1.0	
other mubarak 1.0	
openly maintains 1.0	
state hillary 1.0	
riot cannons 1.0	
reports police 1.0	
while few 1.0	
initially government 1.0	
hillary activists 1.0	
th comments 1.0	
freedom dictator 1.0	
many disabled 1.0	
saudi freedom 1.0	
th streets 5.0	
state army 1.0	
ben been 1.0	
reluctant comments 1.0	
wounded live 1.0	
said pbs 1.0	
policy pbs 1.0	
took revolution 1.0	
pbs instead 1.0	
mubarak chanting 1.0	
years mubarak 1.0	
recipients maintains 1.0	
th cut 1.0	
gas ammunition 1.0	
protesters near 1.0	
stay evening 1.0	
many evening 3.0	
openly largest 1.0	
streets much 1.0	
run re-election 1.0	
power people 2.0	
th tear 1.0	
th continued 2.0	
reports ammunition 1.0	
who saudi 1.0	
goal army 1.0	
smaller mubarak 1.0	
wounded with 1.0	
mubarak hosni 1.0	
end egypt 1.0	
st continued 2.0	
streets st 2.0	
by blocked 1.0	
thousands marched 1.0	
are arabia 1.0	
not dictator 1.0	
not many 1.0	
join been 1.0	
power one 1.0	
tear gas 2.0	
suspended services 1.0	
thousands charges 1.0	
with ammunition 2.0	
service country 1.0	
showed activists 1.0	
stay not 1.0	
pbs a 3.0	
tuesday stands 1.0	
demand alexandria 1.0	
saudi he 1.0	
thousands cannons 1.0	
refer not 1.0	
years chanting 1.0	
egyptian a 3.0	
mubarak alexandria 1.0	
mubarak military 1.0	
took protesters 2.0	
were crowds 1.0	
twitter independent 1.0	
stands observers 1.0	
stay fired 1.0	
thousands protesters 1.0	
many fired 1.0	
egypt charges 1.0	
made by 1.0	
mubarak another 1.0	
vice president 2.0	
were history 1.0	
